,keyword,text,lat,long,census,comp
0,safeway,"See our latest #Rocklin, CA #branchbanking job opportunity and click the link in our bio to apply: Universal Banker 1 NMLS - Rocklin Safeway (30 hrs) at U.S. Bank",38.7907339,-121.2357828,6061021103,0.4215
1,safeway,Fuck no!  Just stop M&amp;Ms. @ Safeway ,37.76910525,-122.42826619,6075016900,-0.8016
2,safeway,"I'm at @Safeway in San Francisco, CA ",37.7746023,-122.4652111,6075045200,0.0
3,safeway,"I'm at @Safeway in Falls Church, VA ",38.8535005,-77.12873459999999,51059451502,0.0
4,safeway,"I'm at Starbucks (inside safeway) in Falls Church, VA ",38.853191,-77.129397,51059451502,0.0
5,safeway,"Lunch! (at @Safeway in Tacoma, WA)  ",47.1904255,-122.4070474,53053071601,0.0
6,safeway,"warn the humble will see this and celebrate, you who seek the mightiest, your souls will come alive. #hoshiyana 
 @ Safeway ",37.68936638,-122.13822295,6001433600,0.7096
7,safeway,"Stop staring at the clock every day. It's time for a new career. Follow us to view jobs with titles like ""Universal Banker 1 NMLS (20 hrs) - GOODYEAR SAFEWAY - Goodyear, AZ"" in #Goodyear, AZ. #branchbanking",33.4353394,-112.3576567,4013061300,0.0772
8,safeway,"@geminibuttaflyy I know off 5th St in NW next to the Safeway we gotta be there before 8pm at that chipotle or the residents that live above paying in excess of $2,000+ will get us up outta there.",39.291023,-76.691879,24510280404,0.0
9,safeway,"Nervous to apply for a job like ""Universal Banker 1 NMLS (40 hrs) - Broadway &amp; Campbell Safeway - Tucson, AZ"" at U.S. Bank? Apply even if you're not a 100% match. You might be underestimating your value. Click the link in our bio for more info. #branchbanking #Tucson, AZ",32.2217429,-110.926479,4019001900,0.4215
10,safeway,"I'm at @Safeway in Marysville, WA ",48.06255017,-122.17435729999998,53061052905,0.0
11,safeway,Monday night Safeway @fluevog shoe game on pointe. @ Safeway ,37.74323473,-122.42244173,6075025300,0.0
12,safeway,"If jobs with titles like ""Universal Banker 1 NMLS - Union City Safeway (35 hrs)"" sound appealing to you, follow us to hear about these types of opportunities in #UnionCity, CA. #branchbanking",37.59339179999999,-122.0438298,6001440301,0.6249
13,safeway,"The woman behind the customer service counter is a real charmer. Not. (at @Safeway in Colorado Springs, CO) ",38.873844,-104.7224508,8041005602,0.4404
14,safeway,"We're hiring in #CameronPark, CA! Click the link in our bio to apply to this job and more: Universal Banker 1 NMLS - Cameron Park Safeway (20 hrs) at U.S. Bank #branchbanking",38.6687929,-120.9871643,6017030809,0.0
15,safeway,"I'm at @Safeway in San Francisco, CA ",37.79698545,-122.39870299,6075010500,0.0
16,safeway,"Nervous to apply for a job like ""Universal Banker 1 NMLS (40 hrs) - West Apache Trail Safeway - Apache Junction, AZ"" at U.S. Bank? Apply even if you're not a 100% match. You might be underestimating your value. Click the link in our bio for more info.",33.4150485,-111.5495777,4021000310,0.4215
17,safeway,"See our latest #Sacramento, CA job and click to apply: Universal Banker 1 NMLS - Del Paso Boulevard Safeway (20 hrs) -  #branchbanking",38.5815719,-121.4943996,6067001101,0.0
18,safeway,Well per @guyfieri these are on the menu in flavortown and #Nationalcheeseteakday was bomb dot com. My lovely wife made the rolls this morning at safeway. I made the barkerbbq baby got ,47.7156,-116.938,16055000500,0.4019
19,safeway,The classic weekend battle! #defeated #iwin @ Safeway ,47.01908382,-122.89780192,53067010400,-0.4389
20,safeway,Why is there not another cashier with this many people in the aisle @Safeway ,48.51248041,-122.61166294,53057940600,0.0
21,safeway,"If you're looking for work in #Napa, CA, check out this #branchbanking job via the link in our bio: Universal Banker 1 NMLS - Trancas &amp; Jefferson Safeway (30 hrs) at U.S. Bank",38.2975381,-122.286865,6055200202,0.0
22,safeway,"I'm at @Safeway in Falls Church, VA ",38.8535005,-77.12873459999999,51059451502,0.0
23,safeway,"I'm at Starbucks (inside safeway) in Falls Church, VA ",38.853191,-77.129397,51059451502,0.0
24,safeway,"This job is now open at U.S. Bank in #Sacramento, CA. Follow us and turn on mobile alerts to hear about jobs like these as soon as they're posted: Universal Banker 1 NMLS - Sacramento, CA - Natomas Town Center Safeway (30 hrs) #branchbanking",38.5815719,-121.4943996,6067001101,0.3612
25,safeway,"See our latest #FountainHills, AZ #branchbanking job opportunity and click the link in our bio to apply: Universal Banker 1 NMLS (40 hrs) - Fountain Hills Safeway - Fountain Hills, AZ at U.S. Bank",33.6042079,-111.7256936,4013216818,0.4215
26,safeway,"Nervous to apply for a job like ""Universal Banker 1 NMLS (40 hrs) - Cactus Safeway - Peoria, AZ"" at U.S. Bank? Apply even if you're not a 100% match. You might be underestimating your value. Click the link in our bio for more info. #branchbanking #Peoria, AZ",33.5805955,-112.2373779,4013071911,0.4215
27,safeway,"I'm at @Safeway in San Francisco, CA ",37.7746023,-122.4652111,6075045200,0.0
28,safeway,"This job is now open at U.S. Bank in #Dublin, CA. Follow us and turn on mobile alerts to hear about jobs like these as soon as they're posted: Universal Banker 2 NMLS - Dublin Boulevard Safeway (35 hrs) #branchbanking",37.7021521,-121.9357918,6001450400,0.3612
29,safeway,"This #branchbanking job might be a great fit for you. Click the link in our bio to see it and more. In Store Branch Manager NMLS 1 - North Oracle Safeway (AZ) at U.S. Bank #Tucson, AZ",32.2217429,-110.926479,4019001900,0.765
30,albertsons,"I'm at Albertsons Pharmacy in Arcadia, CA ",34.1076874,-118.0229272,6037431502,0.0
31,albertsons,"I'm at Albertsons in Arcadia, CA ",34.107639299999995,-118.0229325,6037431502,0.0
32,albertsons,"Career tip for landing jobs like ""Universal Banker 1 NMLS - Reseda Albertsons (40 hrs) Bilingual Spanish Preferred"" in #LosAngeles, CA. Go on informational interviews. The best way to get a meeting with a hiring manager is to ask for an informational meeting. #branchbanking",34.2011141,-118.5360517,6037131020,0.7717
33,albertsons,"I'm at Albertsons in Carson, CA  ",33.8063321,-118.272773,6037543703,0.0
34,albertsons,"Click the link in our bio to see currently open #branchbanking jobs like ""Universal Banker 1 NMLS - Chino Hills Albertsons (25 hrs)"" at U.S. Bank in #ChinoHills, CA.",33.989818799999995,-117.7325848,6071000105,0.3612
35,albertsons,"Join the U.S. Bank team! See our latest #branchbanking job openings, including ""Universal Banker 4 NMLS - Escondido Albertsons (35 hrs)"", via the link in our bio. #Escondido, CA",33.1192068,-117.086421,6073020214,0.3595
36,albertsons,"Click the link in our bio to see currently open #Marketing jobs like ""National Account Manager - Albertsons"" at Sanofi in #Boise, ID.",43.6187102,-116.2146068,16001000100,0.3612
37,albertsons,"We're hiring in #FountainValley, CA! Click the link in our bio to apply to this job and more: Universal Banker 1 NMLS - Brookhurst &amp; Edinger Albertsons (20 hrs) Bilingual Vietnamese/Spanish Preferred at U.S. Bank #branchbanking",33.7091847,-117.9536697,6059099251,0.0
38,albertsons,So lets say I win the $500 grill &amp; groceries... but I dont want the grill itself... can I get the $500 itself and spend it on the groceries?  @vons @Albertsons #monopoly #vonsmonopoly #monopolywin #shopplaywin ,33.72771273,-118.05688228,6059099514,0.2957
39,albertsons,"I'm at Albertsons in Carson, CA  ",33.8063321,-118.272773,6037543703,0.0
40,albertsons,"I'm at Albertsons in Arcadia, CA ",34.107639299999995,-118.0229325,6037431502,0.0
41,albertsons,"If you're looking for work in #ThousandOaks, CA, check out this #branchbanking job via the link in our bio: Universal Banker 1 NMLS - Newbury Park Albertsons (40 hrs) at U.S. Bank",34.1805403,-118.90708870000002,6111005909,0.0
